WIP,REV NO ,BOM_days,정상,준긴급,최소,LT부족,WO미발행,기타,설계(REV),설계문제,설계보류,자재문제,제작지연,품질문제,CN,CS,DSS,HSCS,LTCS,NA,SDSS,SS,TN,DIA,Joint 수,중량,두께,(주)성광테크,부흥,삼성중공업(주)거제,삼성중공업_해)의장1부(내부용),삼성중공업_해)의장2부의장4과(내부용,성일SIM함안공장,칠서피앤에스,피앤엘,납품기준일-WO일,Process day(입고일-WO일)
35,1,114,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,77,8,0,0,0,0,0,0,1,0,43,107
4,1,104,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,3,11,70,11,1,0,0,0,0,0,0,0,50,138
35,2,107,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2,8,12,6,0,0,0,0,0,0,1,0,43,162
35,1,109,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2,9,17,6,0,0,0,0,0,0,1,0,43,160
4,3,83,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,5,65,9,1,0,0,0,0,0,0,0,30,188
38,1,194,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10,4,665,29,0,0,0,0,0,0,1,0,62,117
38,3,134,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,10,16,258,8,0,0,0,0,0,0,1,0,74,158
38,3,140,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8,14,170,7,0,0,0,0,0,0,1,0,74,172
49,2,113,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,10,5,164,4,0,0,0,0,0,0,1,0,58,202
1,0,32,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2,4,15,6,0,0,0,0,1,0,0,0,58,105
49,1,59,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,4,10,36,9,0,0,0,0,0,0,1,0,86,149
